image_name,ground_truth,prediction,match,inference_time
day_15564.jpg,58B39218,58B39218,True,1.1044602394104004
day_08611.jpg,61Q48444,61Q4844,False,0.07601356506347656
day_16010.jpg,87Ṣ57418,87Ṣ57418,True,0.07464599609375
day_08270.jpg,47M37153,47M37153,True,0.027701139450073242
day_09842.jpg,25S63677,25S63677,True,0.03924822807312012
day_09346.jpg,75Ṣ17111,85Ṣ17111,False,0.06986784934997559
day_04561.jpg,17O92244,17O92244,True,0.03490257263183594
day_04913.jpg,39B99232,39B99232,True,0.03387784957885742
night (3849).jpg,51L94916,51L94916,True,0.03184795379638672
night (1464).jpg,89Ṭ84920,89Ṭ84920,True,0.06394171714782715
night (1500).jpg,18T19386,18T19386,True,0.025722265243530273
night (4108).jpg,42Ṭ66118,42Ṭ66118,True,0.03406643867492676
day_03840.jpg,87B76889,87B76889,True,0.062426090240478516
day_00527.jpg,29B77263,29B77263,True,0.03313636779785156
night (2257).jpg,18M42744,18M42744,True,0.0355830192565918
day_16199.jpg,45Ṭ75918,45Ṭ75918,True,0.03440213203430176
day_10866.jpg,81B27528,81B27528,True,0.03276181221008301
day_04058.jpg,43Q78368,,False,
day_12845.jpg,32S17210,32S17210,True,0.032681941986083984
day_13277.jpg,59B57699,59B57699,True,0.0309140682220459
night (3122).jpg,12L39116,12L39116,True,0.03586220741271973
day_10362.jpg,18Ṣ16211,28Ṣ16210,False,0.0333867073059082
night (4027).jpg,39D91916,39D91916,True,0.03278660774230957
day_11522.jpg,73L35410,73L35410,True,0.03692770004272461
day_13616.jpg,83L88199,43434,False,0.03262805938720703
day_00251.jpg,36J79651,36J79651,True,0.031245946884155273
day_03344.jpg,84B27210,84B27210,True,0.0277860164642334
day_10703.jpg,46Ṣ41766,46Ṣ41766,True,0.03744983673095703
day_00714.jpg,35V71763,35V71763,True,0.03832197189331055
day_01154.jpg,25Ṣ41399,25Ṣ41399,True,0.03408932685852051
day_02041.jpg,36B47474,36B47474,True,0.02742934226989746
day_01535.jpg,32J12710,32J12710,True,0.03220820426940918
day_05859.jpg,17Ṣ66566,17Ṣ66566,True,0.062235355377197266
day_03260.jpg,83D81524,83D8884,False,0.040886640548706055
day_07408.jpg,26H11713,26H11713,True,0.02311253547668457
day_06248.jpg,24M77538,24M77538,True,0.03392529487609863
day_05888.jpg,31B63620,31B63620,True,0.027073144912719727
day_01243.jpg,25N45466,25N45466,True,0.040555715560913086
night (4085).jpg,57Ṣ83218,57Ṣ83218,True,0.033675432205200195
